                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 1.3447,                 0.9574,                0.93848,                0.43583,                0.33568,                0.33008,                0.19449,                 1.3391,                0.97965,                0.96186,              0.0036145,              0.0036145,              0.0036145
                    131,                  1.338,                0.95863,                0.93684,                0.43254,                0.33603,                 0.3298,                0.19427,                 1.3393,                0.97997,                0.96195,               0.003565,               0.003565,               0.003565
                    132,                 1.3442,                0.95965,                0.93823,                0.41489,                0.34396,                0.33013,                0.19441,                  1.339,                0.97918,                0.96182,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.3361,                  0.951,                0.93788,                 0.4173,                0.34291,                0.33017,                0.19462,                 1.3392,                0.97902,                0.96162,               0.003466,               0.003466,               0.003466
                    134,                 1.3444,                0.95489,                0.93933,                0.42269,                0.34189,                0.33076,                0.19457,                 1.3395,                 0.9786,                0.96165,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.3384,                 0.9531,                0.93779,                0.43213,                0.33665,                0.33122,                0.19508,                 1.3398,                0.97856,                0.96174,               0.003367,               0.003367,               0.003367
                    136,                 1.3378,                 0.9486,                0.93796,                0.43503,                0.33598,                 0.3313,                0.19516,                 1.3405,                0.97879,                0.96204,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.3403,                0.95033,                0.93746,                0.43619,                0.33594,                0.33161,                0.19567,                 1.3408,                0.97874,                0.96184,               0.003268,               0.003268,               0.003268
                    138,                 1.3333,                0.94929,                0.93681,                0.44379,                0.33266,                0.33194,                0.19618,                 1.3403,                0.97859,                0.96168,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.3367,                0.95274,                0.93734,                0.44812,                0.33199,                0.33226,                0.19626,                 1.3398,                0.97829,                0.96161,               0.003169,               0.003169,               0.003169
                    140,                 1.3334,                0.94353,                0.93517,                0.44448,                0.33341,                0.33199,                 0.1961,                 1.3396,                0.97902,                0.96147,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.3302,                0.94154,                 0.9358,                0.43969,                0.33515,                0.33171,                0.19635,                 1.3397,                0.97872,                 0.9616,                0.00307,                0.00307,                0.00307
                    142,                 1.3438,                 0.9515,                0.93615,                0.43824,                0.33556,                0.33192,                0.19655,                 1.3393,                0.97894,                0.96151,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.3432,                0.95136,                0.93559,                0.43771,                0.33542,                0.33199,                0.19626,                 1.3395,                0.97885,                0.96161,               0.002971,               0.002971,               0.002971
                    144,                 1.3281,                0.94035,                0.93349,                0.43946,                0.33583,                0.33201,                0.19606,                 1.3397,                0.97883,                0.96174,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.3253,                0.93829,                0.93452,                0.43811,                0.33616,                0.33203,                0.19601,                 1.3396,                0.97886,                0.96172,               0.002872,               0.002872,               0.002872
                    146,                 1.3344,                0.94304,                0.93689,                0.43708,                0.33652,                0.33184,                0.19607,                 1.3394,                0.97839,                0.96159,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.3372,                 0.9457,                0.93595,                0.43757,                0.33508,                0.33185,                0.19602,                 1.3391,                0.97838,                0.96165,               0.002773,               0.002773,               0.002773
                    148,                 1.3346,                0.94623,                0.93555,                 0.4247,                0.34006,                0.33208,                0.19607,                 1.3394,                 0.9783,                0.96167,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.3303,                0.93606,                0.93506,                0.42572,                0.33996,                0.33191,                0.19602,                 1.3393,                0.97841,                0.96161,               0.002674,               0.002674,               0.002674
                    150,                 1.3186,                 0.9326,                0.93335,                 0.4225,                0.34143,                0.33237,                0.19624,                 1.3389,                0.97808,                0.96145,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.3265,                0.93537,                 0.9338,                0.41397,                0.34464,                0.33229,                0.19625,                 1.3388,                0.97793,                0.96148,               0.002575,               0.002575,               0.002575
